Time[s],sma::BMS_UIT::bat_i[A],sma::BMS_UIT::bat_u[V],sma::SMA_UI::inv_i[A],sma::SMA_UI::inv_u[V],sma::BMS_UIT::bat_ready
41.688500,,,0.000000,0.300000,
41.754690,0.000000,347.100000,,,2.000000
41.788550,,,0.000000,0.300000,
41.854610,0.000000,347.100000,,,2.000000
41.888550,,,0.000000,0.300000,
41.955310,0.000000,347.100000,,,2.000000
41.988520,,,0.000000,0.300000,
42.054610,0.000000,347.100000,,,2.000000
42.088500,,,0.000000,0.300000,
42.154590,0.000000,347.100000,,,2.000000
42.188460,,,0.000000,0.300000,
42.254590,0.000000,347.100000,,,2.000000
42.288540,,,0.000000,0.300000,
42.354620,0.000000,347.100000,,,2.000000
42.388510,,,0.000000,0.300000,
42.454560,0.000000,347.100000,,,2.000000
42.488490,,,0.000000,0.300000,
42.555280,0.000000,347.100000,,,2.000000
42.588540,,,0.000000,0.300000,
42.654600,0.000000,347.100000,,,2.000000
42.688530,,,0.000000,0.300000,
42.754540,0.000000,347.100000,,,2.000000
42.788410,,,0.000000,0.300000,
42.854630,0.000000,347.100000,,,2.000000
42.888490,,,0.000000,0.300000,
42.954630,0.000000,347.100000,,,2.000000
42.989710,,,0.000000,0.300000,
43.054570,0.000000,347.100000,,,2.000000
43.089780,,,0.000000,0.300000,
43.155260,0.000000,347.100000,,,2.000000
43.189740,,,0.000000,0.300000,
43.254560,0.000000,347.100000,,,2.000000
43.289710,,,0.000000,0.300000,
43.354570,0.000000,347.100000,,,2.000000
43.389680,,,0.000000,0.300000,
43.454560,0.000000,347.100000,,,2.000000
43.489750,,,0.000000,0.300000,
43.554670,0.000000,347.100000,,,2.000000
43.588400,,,0.000000,0.300000,
43.654550,0.000000,347.100000,,,2.000000
43.689710,,,0.000000,0.300000,
43.754590,0.000000,347.100000,,,2.000000
43.789760,,,0.000000,0.300000,
43.854570,0.000000,347.100000,,,2.000000
43.889740,,,0.000000,0.300000,
43.954550,0.000000,347.100000,,,2.000000
43.989620,,,0.000000,0.300000,
44.054580,0.000000,347.100000,,,2.000000
44.089710,,,0.000000,0.300000,
44.154550,0.000000,347.100000,,,2.000000
44.189760,,,0.000000,0.300000,
44.255290,0.000000,347.100000,,,2.000000
44.289730,,,0.000000,0.300000,
